keyword,meaning,meaning2,meaning3
scatterplot,scatterplot,descriptive,generic
maximum likelihood,maximum likelihood,NA,generic
analytical model,analytical model,NA,generic
Bayesian estimation,Bayesian estimation,NA,generic
Pattern-oriented model,Pattern-oriented model,machine learning,generic
Advection-diffusion,advection-diffusion,movement model,Movement
Convection-diffusion,advection-diffusion,movement model,Movement
drift-diffusion,advection-diffusion,movement model,Movement
scalar transport,advection-diffusion,movement model,Movement
ANOSIM,ANOSIM,regression,generic
Approximate Bayesian computation,ABC,simulation,generic
biplot,biplot,descriptive,generic
Bray-Curtis,Bray-Curtis,descriptive,generic
Canonical correlation analysis,Canonical correlation analysis,multivariate analysis,generic
Correspondence analysis,Correspondence analysis,multivariate analysis,generic
hazard function,survival analysis,time series,time-series
hidden semi-Markov,HSMM,SSM,Movement
%HSMM%,HSMM,SSM,Movement
joint potential path area,joint potential path area,descriptive,Movement
kriging,geostatistics,spatial stats,spatial
Mark-resight,capture recapture,population size,time-series
multinomial regression,regression model,regression,generic
occupancy model,occupancy model,spatial stats,spatial
Path Identification Index,Path Identification Index,descriptive,Movement
Poisson process,Poisson process,spatial stats,spatial
polynomial equation,polynomial equation,regression,generic
regression tree,regression tree,machine learning,generic
Self-organizing map,SOM,machine learning,generic
spatial autocorrelation analysis,spatial autocorrelation analysis,spatial stats,spatial
transfer entropy,transfer entropy,time series,time-series
variogram,geostatistics,spatial stats,spatial
multidimensional scaling,multidimensional scaling,multivariate analysis,generic
Spearman correlation,correlation,descriptive,generic
Brownian bridge kernel,continuous time movement model,movement model,Movement
convex hull area,convex hull,spatial stats,spatial
cox process,survival analysis,time series,time-series
structural equation model,structural equation model,regression,generic
utility function,utility function,regression,generic
