keyword,meaning
players,players
patients,patients
bchildb,sector
children,sector
bpeopleb,people
students,sector
bpersonb,people
tourists,sector
visitors,sector
bhuntersb,hunters
brunners,players
athletes,players
women,sector
bmenb,sector
adolescents,sector
fishermen,fishers
customers,people
participants,people
employees,sector
hikers,players
bboysb,sector
girls,sector
woman,sector
bmanb,sector
